Number,Arabic,English
918,شُهَدَاءَ,Martyrs
919,أُمَّةٌ,his mom
920,حَنِيفًا,Hanif
921,وَيَعْقُوبَ,And Jacob
922,يَأْتِ,He comes
923,الصَّابِرِينَ,The patients
924,تَابُوا,They repented
925,آبَاءَنَا,Our fathers
926,يَهْتَدُونَ,They are guided
927,أَخِيهِ,My brother
928,ذِكْرًا,Reminding
929,ابْتِغَاءَ,Excuse
930,وَالْمَلَائِكَةُ,And the angels
931,مُؤْمِنٌ,Believer
932,فَضْلٍ,Fadl
933,الْمُلْكُ,the king
934,بَعْضَهُمْ,Some of them
935,وَهِيَ,Which
936,وَيَعْلَمُ,He knows
937,بِكَ,You
938,الْكَاذِبِينَ,liers
939,فَإِنَّهُمْ,They are
940,مَغْفِرَةٌ,forgiveness
941,ذَلِكُمُ,That is
942,فَالَّذِينَ,Those who are
943,أَصْحَابَ,friends
944,انْظُرْ,Look
945,رَسُولٍ,messenger
946,الشَّيْطَانَ,evil
947,وَعَدَ,a promise
948,الصَّلَاةِ,Prayer
949,يَجِدُونَ,They find
950,رَسُولُ,messenger
951,فَإِنَّا,I am
952,الْمُفْسِدِينَ,The spoils
953,النَّعِيمِ,bliss
954,ذِكْرِ,Mention
955,مِمَّنِ,of whom
956,الصُّورِ,Pictures
957,وَالشَّهَادَةِ,And testimony
958,مَرَّةٍ,Once
959,اثْنَيْنِ,two
960,حَرَجٌ,critical
961,لَهُمَا,To them
962,وَجَاءَ,He came
963,مُجْرِمِينَ,Criminals
964,يَتَفَكَّرُونَ,They think
965,السَّاعَةِ,the hour
966,ذَاتِ,Dhia
967,فِتْنَةً,Temptation
968,لَيَقُولُنَّ,To say
969,مَكَانٍ,place
970,السَّمْعَ,Hearing
971,يُغْنِي,Sing me
972,أَجْرٍ,A reward
973,لِنَفْسِهِ,For itself
974,عِبَادِنَا,Our worshipers
975,يَمْلِكُونَ,they have
976,آخَرَ,else
977,بِحَمْدِ,Muhammad
978,الْعِلْمَ,Science
979,يُوعَدُونَ,They are promised
980,سَوَاءٌ,whether
981,فَأْتُوا,So come
982,تَفْعَلُوا,Do
983,يُضِلُّ,It is misled
984,وَيَهْدِي,And guide
985,اسْتَوَى,ripen
986,لِلْمَلَائِكَةِ,To the angels
987,سُبْحَانَكَ,Glory be to you
988,اذْكُرُوا,Remember
989,بِالْبَاطِلِ,In falsehood
990,آلِ,The
991,قُلْتُمْ,You said
992,عَلِمَ,Science
993,أَدْنَى,minimum
994,النَّبِيِّينَ,The prophets
995,كُونُوا,Being
996,أَكُونَ,I be
997,بِغَافِلٍ,With a vagina
998,فَوَيْلٌ,Foyel
999,دِيَارِهِمْ,Their homes
1000,الْفَاسِقُونَ,The voices
1001,نَصِيرٍ,Nasser
1002,فَيَكُونُ,It will be
1003,آيَةٌ,any
1004,وَالْحِكْمَةَ,And judgment
1005,وَإِسْحَاقَ,And cruise
1006,تَكُونَنَّ,You are
1007,وَلَعَلَّكُمْ,Perhaps you
1008,عَادٍ,is back
1009,اخْتَلَفُوا,They were disappeared
1010,يَسْأَلُونَكَ,They ask you
1011,فِيهِنَّ,They are
1012,جُنَاحٌ,wing
1013,فَضْلًا,As well as
1014,أَشَدَّ,Tightening
1015,سَرِيعُ,fast
1016,تَوَلَّى,took over
1017,بَيِّنَةٍ,evidence
1018,زُيِّنَ,beautiful
1019,بِإِذْنِهِ,With his permission
1020,مَتَى,When
1021,أَهْلِهِ,His family
1022,أَعْمَالُهُمْ,Their works
1023,النِّسَاءَ,Women
1024,حَلِيمٌ,Halim
1025,أَحَقُّ,I deserve
1026,بَعْدُ,distance
1027,أَقْرَبُ,closer
1028,يَشْكُرُونَ,Thank you
1029,هَارُونَ,Aaron
1030,يَوْمٌ,day
1031,وَيُمِيتُ,And I died
1032,أَمْوَالَهُمْ,Their money
1033,بَعْضًا,Some
1034,لِأُولِي,For my first
1035,تَشَاءُ,Will
1036,هُنَالِكَ,there
1037,الْحَكِيمِ,the wise
1038,تُؤْمِنُوا,You believe
1039,الْمَلَائِكَةَ,Angels
1040,أَخَذَ,Taking
1041,قُلُوبِكُمْ,Your hearts
1042,كَالَّذِينَ,As those
1043,فَلْيَتَوَكَّلِ,Let him eat
1044,قُلُوبِ,hearts
1045,أَنْفُسُهُمْ,themselves
1046,كَمَنْ,also
1047,نَفْعًا,Pleasure
1048,كَأَنْ,It was
1049,يُضْلِلِ,It is misleading
1050,وَكُلًّا,And all
1051,الْقَوْلِ,The saying
1052,رَسُولِهِ,His Messenger
1053,ضَلُّوا,They went out
1054,نُورًا,Nura
1055,اسْمَ,Noun
1056,وَرَبُّكَ,And your Lord
1057,نَفْسِي,Myself
1058,وَبَيْنَ,And clear
1059,وَآتَيْنَاهُ,We came to him
1060,فَأَصْبَحُوا,So they became
1061,مَكَانًا,A place
1062,دَخَلُوا,They entered
1063,ضَرًّا,Harm
1064,فَإِنَّكَ,You are
1065,بِرَبِّهِمْ,In their Lord
1066,بَلَغَ,reach
1067,بَرِيءٌ,Poor
1068,يُفْلِحُ,It is successful
1069,أَسَاطِيرُ,Myths
1070,لَكَاذِبُونَ,They are liars
1071,عَذَابُ,torment
1072,لِأَبِيهِ,His father
1073,عِلْمًا,Knowledge
1074,أُوحِيَ,I was revealed
1075,إِذِ,so
1076,تُجْزَوْنَ,They are rewarded
1077,آيَاتِي,Ayati
1078,وَكَمْ,And how much
1079,ظَالِمِينَ,Djeling
1080,بَيْنِ,between
1081,إِمَّا,As for
1082,أَغْنَى,I sing
1083,يَخْرُجُ,Out
1084,غَيْرُهُ,Jealous
1085,ذِكْرٌ,Mention
1086,أَمِينٌ,Trustworthy
1087,سُلْطَانٍ,Sultan
1088,بُيُوتًا,Biyat
1089,أَمْرِ,Command
1090,مَدْيَنَ,Debtor
1091,عَذَابِي,My torment
1092,سُوءُ,Ill
1093,قَرِيبًا,almost
1094,وَثَمُودَ,And a number
1095,وَالْمُؤْمِنَاتِ,And the believers
1096,أَجْرِيَ,go run
1097,بَشَرًا,Good news
1098,تَخَفْ,Fear
1099,قُرْآنًا,Quran
1100,سِنِينَ,Two years
1101,رَوَاسِيَ,Rawasi
1102,تُرَابًا,Dust
1103,أَإِنَّا,I am
1104,جَنَّاتُ,Paradises
1105,يَبْسُطُ,Simplify
1106,وَيَقْدِرُ,It is appreciated
1107,نُطْفَةٍ,sperm
1108,الْأَعْلَى,the above
1109,لِلرَّحْمَنِ,For the Most Merciful
1110,تُبْصِرُونَ,You see
1111,تُكَذِّبُونَ,You lie
1112,الْكِتَابُ,the book
1113,وَكُنْتُمْ,And you were
1114,الْمَلَائِكَةِ,Angels
1115,إِبْلِيسَ,The devil
1116,لِبَعْضٍ,For some
1117,وَقُولُوا,And they said
1118,تَوَلَّيْتُمْ,You followed
1119,يَفْعَلُ,Do
1120,عَنْهُمُ,About them
1121,مُهِينٌ,insulting
1122,وَقَالَتِ,She said
1123,كُنْ,Be
1124,وَنَذِيرًا,And a warning
1125,عَنْكَ,About you
1126,آتَيْنَاهُمُ,We came to them
1127,يَكْفُرْ,Express
1128,وَإِسْمَاعِيلَ,And Asmail
1129,الْبَيْتِ,the house
1130,مِلَّةَ,Religion
1131,آمَنْتُمْ,You believe
1132,يَنْفَعُ,It is beneficial
1133,يَرَوْنَ,They see
1134,تَتَّبِعُوا,Follow
1135,إِيَّاهُ,Hey
1136,الْقُرْآنُ,The Quran
1137,عِبَادِي,My servants
1138,قَرِيبٌ,Close
1139,كَتَبَ,Wrote
1140,تَأْكُلُوا,Eat
1141,فَإِنِ,So
1142,حَسَنَةً,Good deed
1143,نَصِيبٌ,share
1144,تُحْشَرُونَ,You are grateful
1145,آتَيْنَاهُمْ,We came to them
1146,كَبِيرٌ,big
1147,فِيهِمَا,They are
1148,يَدْعُو,Call
1149,وَتَتَّقُوا,And fear
1150,مِثْلُ,Such as
1151,عَلَيْهِمَا,They have
1152,نِعْمَتَ,You are blessed
1153,لَذُو,I am
1154,صَبْرًا,Patience
1155,دَرَجَاتٍ,grades
1156,النُّورِ,the light
1157,يَأْتِي,Come
1158,تُنْفِقُوا,Over
1159,وَأَقَامُوا,And stay
1160,آيَاتٌ,Verses
1161,نَصِيبًا,Install
1162,سُوءٍ,Ill
1163,أُنْثَى,feminine
1164,الْمَسِيحُ,The messiah
1165,مِنْهُمُ,who are they
1166,وَبَيْنَكُمْ,And show you
1167,أَوْلَى,first
1168,كَافِرِينَ,Kafrin
1169,الْمُنْكَرِ,The denial
1170,أَهْلُ,Ahl
1171,حَسَنَةٌ,Good deed
1172,يَغْفِرُ,He forgives
1173,تُرْحَمُونَ,You are merciful
1174,وَالْأَرْضُ,And the earth
1175,اتَّبَعَ,Follow
1176,أَجْرَ,A reward
1177,ذُوقُوا,They touched
1178,قَلِيلٌ,a little
1179,رِجَالًا,Men
1180,أَيْمَانُكُمْ,Your faith
1181,رَجُلٌ,man
1182,اللَّاتِي,Lati
1183,يَتَّبِعُونَ,They follow
1184,أَهْلِهَا,Her people
1185,دُونَ,Without
1186,لَيْتَنِي,Wish
1187,آخَرِينَ,Others
1188,أَيْدِيَهُمْ,Hand them
1189,بِأَمْوَالِهِمْ,With their money
1190,وَأَنْفُسِهِمْ,And themselves
1191,يَشَأْ,He is
1192,فَأَخَذَتْهُمُ,I took them
1193,وَأَوْحَيْنَا,And we showed us
1194,وَهَارُونَ,And Harun
1195,رُسُلًا,A messenger
1196,يَمْلِكُ,Owns
1197,يَخَافُونَ,They are afraid
1198,حُكْمًا,Judgment
1199,طِينٍ,Clay
1200,لَقُضِيَ,To make up
1201,خَسِرُوا,Lose
1202,وَضَلَّ,And misleading
1203,عَمِلَ,a job
1204,وَالْبَحْرِ,And the sea
1205,يَشَاءَ,He wants
1206,وَوَهَبْنَا,And we gave us
1207,خَلَقْنَاكُمْ,We created you
1208,وَجَعَلُوا,And make
1209,جَاءَتْ,It came
1210,وَالْإِنْسِ,And human
1211,الْغَنِيُّ,the rich
1212,الدَّارِ,The house
1213,أَمَّا,As for
1214,لَغَفُورٌ,Forgiveness
1215,يُبْعَثُونَ,They are sent
1216,وَمِنْهَا,Such as
1217,فَالْيَوْمَ,Today
1218,ادْعُوا,Call
1219,فَكَذَّبُوهُ,So they lied to him
1220,أَخَاهُمْ,Their brother
1221,يَعْبُدُ,Worship
1222,وَأَهْلَهُ,And his family
1223,يَهْدِ,He guided
1224,بِرَبِّ,Lord
1225,مُسْلِمِينَ,Muslims
1226,الطَّيِّبَاتِ,The good things
1227,النَّبِيِّ,the Prophet
1228,فَكَانَ,So it was
1229,كَرِهَ,a ball
1230,يَكُ,Yak
1231,الْأَعْرَابِ,The Arabs
1232,عَمَلًا,Work
1233,الْخَلْقَ,Creation
1234,أَمْرُنَا,Our command
1235,تُسْمِعُ,Hear
1236,قَوْمَ,people
1237,أَعْبُدُ,He worshiped
1238,الْفُلْكَ,Ark
1239,يَعْبُدُونَ,They worship
1240,عَرَبِيًّا,Arabic
1241,أَبَتِ,Father
1242,الْمُخْلَصِينَ,Those
1243,تَاللَّهِ,God
1244,الْأَمْثَالَ,The example
1245,بِسُلْطَانٍ,In Sultanate
1246,وَعُيُونٍ,And eyes
1247,بِمَنْ,Who
1248,لَبِثْتُمْ,You met
1249,أَمْرِي,My command
1250,نَبِيًّا,A prophet
1251,السَّعِيرِ,The pricing
1252,وَأَصْحَابُ,And the companions
1253,بُيُوتِ,Bayout
1254,كَرِيمٍ,generous
1255,الْآخِرِينَ,The last two
1256,تَقُومُ,get up
1257,أُقْسِمُ,I swear
1258,وَأَنَّا,And I am
1259,خَلَوْا,They are empty
1260,يَعْمَهُونَ,They are
1261,بِالْهُدَى,In the guidance
1262,آذَانِهِمْ,Their ears
1263,مِثْلِهِ,like him
1264,أَمَرَ,Command
1265,آدَمُ,Adam
1266,فَإِمَّا,Either
1267,سُوءَ,Ill
1268,الْبَحْرَ,the sea
1269,ظَالِمُونَ,Unjust
1270,نُؤْمِنَ,We believe
1271,رَزَقْنَاكُمْ,We gave you
1272,فَكُلُوا,Eat
1273,وَرَحْمَتُهُ,And his mercy
1274,وَالْيَتَامَى,And the orphan
1275,وَآتَيْنَا,And we came
1276,وَرَاءَ,behind
1277,سُلَيْمَانَ,Sulaiman
1278,الْفَضْلِ,Favor
1279,وَاسِعٌ,Wide
1280,يَتْلُو,Telu
1281,نَفْسَهُ,Himself
1282,وَعِيسَى,And Issa
1283,فَقَدِ,Lost
1284,أَأَنْتُمْ,You are
1285,الْخَيْرَاتِ,Goods
1286,مَاءٍ,Water
1287,أَوَلَوْ,Ou
1288,يَأْكُلُونَ,eating
1289,إِثْمًا,In sin
1290,هُنَّ,They
1291,الدِّينُ,Religion
1292,أَذًى,hurt
1293,يَجِدْ,Find
1294,فَاذْكُرُوا,Remember
1295,الْبَيِّنَاتُ,The evidence
1296,الْأُمُورُ,Things
1297,نِعْمَةَ,blessing
1298,حِسَابٍ,account
1299,جَاءَتْهُمُ,They came
1300,يَتَذَكَّرُونَ,They remember
1301,خِفْتُمْ,You were afraid
1302,يَفْعَلْ,Do
1303,مَتَاعًا,Kindness
1304,مَتَاعٌ,Mutawa
1305,فَلَيْسَ,It is not
1306,الرُّسُلُ,The messenger
1307,خَلْفَهُمْ,They left them
1308,مِنْهُنَّ,From them
1309,أَنْفَقُوا,Out
1310,غَنِيٌّ,rich
1311,الرِّبَا,Lord
1312,جَاءَهُ,It came
1313,تَجِدُوا,Get up
1314,وَالْمُؤْمِنُونَ,And the believers
1315,لَدُنْكَ,You have
1316,فَأَخَذَهُمُ,So take them
1317,بِذُنُوبِهِمْ,With their sins
1318,نَاصِرِينَ,We are supporters
1319,كِتَابِ,book
1320,وَيَغْفِرْ,And forgive
1321,لَدَيْهِمْ,They have
1322,التَّوْرَاةِ,The Torah
1323,تَعَالَوْا,Come on
1324,عِوَجًا,I want
1325,ظُلْمًا,In the oppression
1326,السَّمَاوَاتُ,The heavens
1327,مَسَّ,Miss
1328,الشَّاكِرِينَ,Thank you
1329,نَبِيٍّ,Prophet
1330,اغْفِرْ,Forgive
1331,الْأَمْرَ,The matter
1332,عِنْدَنَا,When us
1333,إِيمَانًا,A faith
1334,قَوْلَ,say
1335,رُسُلٌ,Sees
1336,فَبِئْسَ,Fear
1337,سَيِّئَاتِهِمْ,Their affairs
1338,سَعِيرًا,Pricted
1339,تَقْتُلُوا,Kill them
1340,يَسِيرًا,Sir
1341,وَأَعْتَدْنَا,And we are accustomed
1342,تَكُ,Take
1343,سَوْفَ,Will
1344,عَزِيزًا,Dear
1345,الْقَرْيَةِ,the village
1346,وَتَوَكَّلْ,And eat
1347,مُؤْمِنًا,A believer
1348,وَأَعَدَّ,promising
1349,أَعَدَّ,Prepared
1350,يَعْمَلْ,Works
1351,كَثِيرٍ,Many
1352,يُتْلَى,It is recited
1353,ذُكِّرُوا,Remember
1354,أُرِيدُ,I want
1355,رُسُلُنَا,Our messengers
1356,فَيُنَبِّئُكُمْ,He tells you
1357,أَوْلِيَاءُ,Ayat
1358,أَمْرٍ,Command
1359,أَيْمَانِهِمْ,Their faith
1360,فَاسِقُونَ,So they are
1361,يَسْتَكْبِرُونَ,They are arrogant
1362,أَمْرِهِ,His command
1363,تَأْتِيهِمْ,You come
1364,يَأْتِيهِمْ,He brings them
1365,جَعَلْنَاهُ,We made it
1366,رَجُلًا,A man
1367,تُشْرِكُونَ,Share
1368,نَقُولُ,we say
1369,بِلِقَاءِ,With a meeting
1370,يَجْحَدُونَ,They are unjust
1371,نَسُوا,They forgot
1372,أَقُولُ,I say
1373,الْأَعْمَى,the blind
1374,حَمِيمٍ,intimate
1375,عَالِمُ,Scientist
1376,شُرَكَاءَ,partners
1377,وَتَعَالَى,The Almighty
1378,يَصِفُونَ,They describe
1379,الظَّنَّ,I think
1380,لِقَاءَ,Meeting
1381,بِمُعْجِزِينَ,With miracles
1382,اعْمَلُوا,Work
1383,الْمُسْرِفِينَ,The drinkers
1384,آبَاؤُنَا,Our parents
1385,بِالَّتِي,In the time
1386,وَذِكْرَى,And remember
1387,لَكُمَا,To you
1388,أَخْرَجَ,Get out
1389,مُخْلِصِينَ,Senate
1390,بِرَحْمَةٍ,Burning
1391,سِتَّةِ,six
1392,الرِّيَاحَ,The wind
1393,الْمَاءَ,water
1394,نُوحًا,Noah
1395,الْغَابِرِينَ,The parties
1396,شُعَيْبًا,People
1397,السَّحَرَةُ,Magic
1398,فَأَرْسَلْنَا,So send us
1399,الْيَمِّ,Yum
1400,سَبِيلَ,Sibl
1401,فَعَلَ,an act
1402,وَظَنُّوا,They thought
1403,الْمُنَافِقُونَ,The hypocrites
1404,سُورَةٌ,Surah
1405,سَأَلْتَهُمْ,I asked them
1406,وَعْدًا,And after
1407,تَوَكَّلْتُ,I was entrusted
1408,صِدْقٍ,Truth
1409,يُعِيدُهُ,Return it
1410,لِيَجْزِيَ,To be rewarded
1411,سَبَقَتْ,It was preceded
1412,افْتَرَاهُ,I miss it
1413,الْوَعْدُ,The Promise
1414,عِنْدِنَا,We have
1415,اهْتَدَى,Guide
1416,وَاصْبِرْ,And be patient
1417,تَعْبُدُوا,You worship
1418,وَحَاقَ,He was right
1419,مَالًا,Money
1420,مُرِيبٍ,Suspicious
1421,سَلَامًا,Peace
1422,شَدِيدٍ,Intense
1423,ثَمُودُ,Thamoud
1424,الْقُرُونِ,The centuries
1425,الْمُبِينِ,Senate
1426,يُوسُفُ,Youssef
1427,أَبَانَا,Father
1428,وَتَرَكْنَا,And we left
1429,يَسِيرٌ,Walking
1430,وَتَوَلَّى,He took care
1431,آمِنِينَ,Safe
1432,يَسِيرُوا,They walk
1433,خَلْقٍ,Create
1434,الْكَبِيرُ,Great
1435,الْقَوْلَ,The saying
1436,يَتَذَكَّرُ,Remembering
1437,وَعْدُ,a promise
1438,الْمُرْسَلُونَ,The messengers
1439,الْجِبَالِ,Jabal
1440,خَلْقًا,Creation
1441,مُتَّكِئِينَ,Recommended
1442,صَفًّا,Safa
1443,نَادَى,club
1444,بُكْرَةً,roller
1445,وَأَبْقَى,And stay
1446,يَتَسَاءَلُونَ,They ask
1447,الْفَصْلِ,the classroom
1448,حم,father-in-law
1449,وَاللَّيْلِ,And the night
1450,الضَّالِّينَ,The lost
1451,الم,Pain
1452,بِمُؤْمِنِينَ,With believers
1453,ذَهَبَ,He went
1454,مُحِيطٌ,Ocean
1455,يَكَادُ,Nearly
1456,أَنْدَادًا,Conduct
1457,نَزَّلْنَا,We sent us down
1458,اسْجُدُوا,They found
1459,وَقُلْنَا,We said
1460,التَّوَّابُ,Approach
1461,بِكُمُ,with you
1462,الْعِجْلَ,Hurry
1463,تَهْتَدُونَ,You are guided
1464,نَرَى,We see
1465,طَيِّبَاتِ,Good
1466,فَقُلْنَا,We said
1467,عَيْنًا,water spring
1468,وَاشْرَبُوا,And drink
1469,وَاحِدٍ,One
1470,فَلَهُمْ,They have
1471,أَجْرُهُمْ,Their reward
1472,بِقُوَّةٍ,Strongly
1473,أَعُوذُ,I seek refuge
1474,الْجَاهِلِينَ,The ignorant
1475,ادْعُ,Call
1476,لَمَا,when
1477,يُعْلِنُونَ,They announce
1478,تَقُولُونَ,You say
1479,إِحْسَانًا,Good
1480,وَالْمَسَاكِينِ,And the masters
1481,بَغْيًا,Negative
1482,بِخَيْرٍ,Fine
1483,الْكُفْرَ,The disbelief
1484,لِأَنْفُسِكُمْ,To yourselves
1485,هُودًا,there is it
1486,وَجْهَهُ,Its face
1487,الْيَهُودُ,Jews
1488,فَاللَّهُ,God
1489,السُّجُودِ,The prostration
1490,اجْعَلْ,Make
1491,آمِنًا,Safe
1492,هَدَى,Guidance
1493,وَجْهَكَ,your face
1494,وُجُوهَكُمْ,Your faces
1495,بِشَيْءٍ,Something
1496,مُصِيبَةٌ,calamity
1497,يُنْظَرُونَ,They look
1498,طَيِّبًا,Good
1499,اتَّبِعُوا,Follow
1500,وَالْكِتَابِ,And the book
1501,الْمُتَّقُونَ,Those who are righteous
1502,عَنِّي,About Me
1503,فَإِنِّي,I am
1504,حُدُودُ,border
1505,التَّقْوَى,Strengthening
1506,لِمَنِ,Whose
1507,رَءُوفٌ,Raouf
1508,فَاعْلَمُوا,Know
1509,تُرْجَعُ,Return
1510,فَوْقَهُمْ,They are on the authority of
1511,تَدْخُلُوا,Enter
1512,يَأْتِكُمْ,It comes to you
1513,شَرٌّ,Evil
1514,حَبِطَتْ,She was seized
1515,وَجَاهَدُوا,And strive
1516,وَيَسْأَلُونَكَ,And they ask you
1517,بِمَعْرُوفٍ,With a well -known
1518,حُدُودَ,border
1519,سِرًّا,secretly
1520,مَعْرُوفًا,Known
1521,قَرْضًا,Little
1522,وَإِنَّكَ,And you
1523,الطَّيْرِ,The bird
1524,بِاللَّيْلِ,The night
1525,بِالْعَدْلِ,Justice
1526,وَأَطَعْنَا,And we obey us
1527,مَتَاعُ,The enjoyment
1528,فَاغْفِرْ,Forgive
1529,الْعِلْمُ,Science
1530,وَمَنِ,And from
1531,حَقٍّ,right
1532,تَجِدُ,You find
1533,بَعِيدًا,Away
1534,تُحِبُّونَ,You love
1535,طَيِّبَةً,Kind
1536,وَسَبِّحْ,Praise
1537,أَنْبَاءِ,news
1538,أَيُّهُمْ,Ayham
1539,صِرَاطٌ,Spears
1540,مُسْتَقِيمٌ,straight
1541,الشَّاهِدِينَ,The two witnesses
1542,تَخْتَلِفُونَ,You are disappeared
1543,تُرَابٍ,soil
1544,وَبِمَا,And what
1545,يُرْجَعُونَ,They are returned
1546,الْخَيْرِ,The good
1547,وُجُوهٌ,He faces
1548,وُجُوهُهُمْ,Their faces
1549,لَكَانَ,It was
1550,سَيِّئَةٌ,A bad
1551,الْمُكَذِّبِينَ,The lies
1552,وَلِيَعْلَمَ,And he knows
1553,قُتِلَ,killing
1554,وَكَأَيِّنْ,And where
1555,وَمِنْكُمْ,And from you
1556,عَفَا,Pardon
1557,ظَنَّ,He thought
1558,فَبِمَا,So what
1559,بِأَفْوَاهِهِمْ,In their affairs
1560,بِالَّذِينَ,Those who are
1561,يُسَارِعُونَ,They rushed
1562,أَيْدِيكُمْ,Your hands
1563,جَاءُوا,They came
1564,لَكِنِ,but
1565,نُزُلًا,Blind
1566,وَاحِدَةٍ,one
1567,الْأُنْثَيَيْنِ,The two females
1568,شُرَكَاءُ,partners
1569,يُطِعِ,He is obeyed
1570,قَرِيبٍ,Close
1571,أَعْتَدْنَا,Taken us
1572,زَوْجٍ,Husband
1573,أُجُورَهُنَّ,They wage
1574,بَعْضَكُمْ,some of you
1575,مِثْقَالَ,Performed
1576,ذَرَّةٍ,corn
1577,سَبِيلٍ,A way
1578,السَّبِيلَ,The way
1579,مَفْعُولًا,Unknown
1580,أَهْدَى,dedicate
1581,ضَلَالًا,Delight
1582,لَدُنَّا,We have
1583,مُسْتَقِيمًا,Right
1584,يَخْشَوْنَ,They are afraid
1585,وَبَيْنَهُمْ,And show them
1586,إِلَيْكُمُ,To you
1587,رَقَبَةٍ,neck
1588,أَلْقَى,cast down
1589,سُوءًا,Bad
1590,يَدْخُلُونَ,They enter
1591,قَدِيرًا,Forty
1592,دِينَهُمْ,Their religion
1593,رَسُولَ,messenger
1594,حَرَّمْنَا,We are forbidden
1595,الرُّسُلِ,The messenger
1596,عَبْدًا,Well
1597,الْحَرَامَ,forbidden
1598,يَبْتَغُونَ,They seek
1599,الْإِثْمِ,Style
1600,جَاءَنَا,We came
1601,نَذِيرٍ,Nadir
1602,يَخْرُجُوا,They come out
1603,فَتَكُونَ,You will be
1604,وَأَصْلَحَ,And fix
1605,بِالْمُؤْمِنِينَ,With the believers
1606,النَّفْسَ,self
1607,آثَارِهِمْ,Their effects
1608,ابْنِ,Son
1609,تَتَّبِعْ,Follow
1610,فَوْقِهِمْ,They are
1611,وَكَثِيرٌ,And many
1612,يُؤْفَكُونَ,They are skeptical
1613,سَمِعُوا,they heard
1614,مُؤْمِنُونَ,Believers
1615,مِنْكَ,From you
1616,مَلَكٌ,king
1617,الْخَبِيرُ,The expert
1618,نُزِّلَ,download
1619,أُمَمٍ,Nations
1620,بَأْسُنَا,We are
1621,عِنْدِي,I have
1622,الْغَيْبَ,The unseen
1623,تَسْتَعْجِلُونَ,You hurry up
1624,الْحُكْمُ,Judgment
1625,الذِّكْرَى,Remembrance
1626,ذِكْرَى,memory
1627,إِسْحَاقَ,Ishaq
1628,وَلُوطًا,Lot
1629,زَعَمْتُمْ,You claimed
1630,فَأَخْرَجْنَا,So we were brought out
1631,فَذَرْهُمْ,So their attempt
1632,يَضِلُّ,It is misleading
1633,ذُكِرَ,Mention
1634,يَمْشِي,Walk
1635,يَمْكُرُونَ,They are
1636,يَجْعَلْ,Makes
1637,يَذَّكَّرُونَ,They remember
1638,غَافِلُونَ,Ghunnon
1639,يُرَدُّ,Respond
1640,فَلِلَّهِ,God
1641,الْكَيْلَ,The whole
1642,وَالْمِيزَانَ,And the balance
1643,بَعْضُ,some
1644,إِنَّنِي,I am
1645,جَعَلَكُمْ,He made you
1646,مَوَازِينُهُ,Its balance
1647,أَجَلُهُمْ,Yes they
1648,سَاعَةً,Hour
1649,الْجَنَّةُ,the Paradise
1650,وَنَادَى,And he called
1651,رِجَالٌ,men
1652,الْمَاءِ,water
1653,تَبَارَكَ,Blessed
1654,يَدَيْ,my hand
1655,فَأَنْجَيْنَاهُ,So we saved it
1656,وَحْدَهُ,lonliness
1657,ثَمُودَ,Thamoud
1658,الْجِبَالَ,Jabal
1659,أَهْلَهَا,Her people
1660,وَمَلَئِهِ,And its fullness
1661,عَلِيمٍ,Knowing
1662,الرَّاحِمِينَ,The merciful
1663,هَوَاهُ,Hobby
1664,أَضَلُّ,Mudar
1665,أَيَّانَ,Where is
1666,ذَاتَ,Dhul
1667,قُوَّةٍ,Energy
1668,مُدْبِرِينَ,Drink
1669,مَعَنَا,With us
1670,فَاسِقِينَ,Film
1671,كَفَرْتُمْ,You disbelieved
1672,يَغْفِرَ,He forgives
1673,السَّوْءِ,Swallow
1674,الْأَوَّلُونَ,The first
1675,يَبْدَأُ,Started
1676,مَسَّهُ,He touched him
1677,كَلِمَةٌ,a word
1678,رُسُلَنَا,Our messengers
1679,لِلْحَقِّ,For the truth
1680,يَسْتَمِعُونَ,They listen
1681,أَفَأَنْتَ,Are you?
1682,قُضِيَ,He spent
1683,وَأُمِرْتُ,And I was commanded
1684,نُوحٌ,Noah
1685,بُنَيَّ,brouwn
1686,الصَّيْحَةُ,The swallow
1687,كَيْدًا,As
1688,لِلْإِنْسَانِ,For man
1689,فَاعِلِينَ,Verbs
1690,الْمَلِكُ,the king
1691,لَعَلِّي,Perhaps
1692,عَلِمْنَا,taught us
1693,أَكْثَرُ,More
1694,فَيَنْظُرُوا,They look
1695,جَدِيدٍ,new
1696,مِثْلُكُمْ,Like you
1697,ضَرَبَ,Hit
1698,رَبِّهَا,Her Lord
1699,الذِّكْرَ,The remembrance
1700,فَسَبِّحْ,Praise
1701,أَتَى,came
1702,تَفْعَلُونَ,Do you act
1703,أَجْرَهُمْ,Their reward
1704,وَبَنِينَ,And sons
1705,بِعِبَادِهِ,With his servants
1706,يُسَبِّحُ,Praise
1707,الْحَدِيثِ,the talk
1708,الشِّمَالِ,North
1709,أَرَأَيْتَ,You saw
1710,يُسْرًا,Yusra
1711,رَأَوْا,They saw
1712,يَنْبَغِي,He is justified
1713,يَخْشَى,Fear
1714,أَتَاكَ,I came to you
1715,الْكُبْرَى,Great
1716,طَغَى,Glory be to
1717,تَقُولَ,Says
1718,يُؤْمِنْ,Believes
1719,وَيْلَنَا,Woe to us
1720,بِالْعَذَابِ,With torment
1721,الْحَمِيدُ,Al -Hamid
1722,يَسْعَى,Seek
1723,عِبَادَ,Worshipers
1724,مُدَّكِرٍ,Decompression
1725,وَنُذُرِ,We are warned
